year,month,game_id,gameday,away_team,temp,referee,overtime,week,wind_per_month
2017,Nov,2017_12_MIA_NE,2017-11-26,MIA,47,Ron Torbert,0,12,17
2017,Dec,2017_16_BUF_NE,2017-12-24,BUF,35,Craig Wrolstad,0,16,10.5
2017,Dec,2017_17_NYJ_NE,2017-12-31,NYJ,13,Brad Allen,0,17,10.5
2018,Jan,2017_19_TEN_NE,2018-01-13,TEN,24,Ron Torbert,0,19,7.5
2018,Jan,2017_20_JAX_NE,2018-01-21,JAX,48,Clete Blakeman,0,20,7.5
2018,Sep,2018_01_HOU_NE,2018-09-09,HOU,62,Tony Corrente,0,1,8
2018,Sep,2018_04_MIA_NE,2018-09-30,MIA,65,Alex Kemp,0,4,8
2018,Oct,2018_05_IND_NE,2018-10-04,IND,66,Shawn Hochuli,0,5,3
2018,Oct,2018_06_KC_NE,2018-10-14,KC,45,John Hussey,0,6,3
2018,Nov,2018_09_GB_NE,2018-11-04,GB,40,Brad Allen,0,9,2
2018,Dec,2018_13_MIN_NE,2018-12-02,MIN,53,Craig Wrolstad,0,13,6.666666666666667
2018,Dec,2018_16_BUF_NE,2018-12-23,BUF,40,Shawn Smith,0,16,6.666666666666667
2018,Dec,2018_17_NYJ_NE,2018-12-30,NYJ,33,Walt Coleman,0,17,6.666666666666667
2019,Jan,2018_19_LAC_NE,2019-01-13,LAC,26,Ron Torbert,0,19,3
2019,Sep,2019_01_PIT_NE,2019-09-08,PIT,66,Clete Blakeman,0,1,6
2019,Sep,2019_03_NYJ_NE,2019-09-22,NYJ,81,Carl Cheffers,0,3,6
2019,Oct,2019_06_NYG_NE,2019-10-10,NYG,54,Brad Allen,0,6,12
2019,Oct,2019_08_CLE_NE,2019-10-27,CLE,49,Tony Corrente,0,8,12
2019,Nov,2019_12_DAL_NE,2019-11-24,DAL,38,Scott Novak,0,12,16
2019,Dec,2019_14_KC_NE,2019-12-08,KC,32,Jerome Boger,0,14,4
2019,Dec,2019_16_BUF_NE,2019-12-21,BUF,33,John Hussey,0,16,4
2019,Dec,2019_17_MIA_NE,2019-12-29,MIA,43,Clay Martin,0,17,4
2020,Jan,2019_18_TEN_NE,2020-01-04,TEN,44,John Hussey,0,18,4
2020,Sep,2020_01_MIA_NE,2020-09-13,MIA,70,Adrian Hill,0,1,8
2020,Sep,2020_03_LV_NE,2020-09-27,LV,73,Ronald Torbert,0,3,8
2020,Oct,2020_06_DEN_NE,2020-10-18,DEN,58,Scott Novak,0,6,7
2020,Oct,2020_07_SF_NE,2020-10-25,SF,49,Shawn Smith,0,7,7
2020,Nov,2020_10_BAL_NE,2020-11-15,BAL,52,Shawn Hochuli,0,10,10.5
2020,Nov,2020_12_ARI_NE,2020-11-29,ARI,52,Bill Vinovich,0,12,10.5
2020,Dec,2020_16_BUF_NE,2020-12-28,BUF,41,Ronald Torbert,0,16,4
2021,Jan,2020_17_NYJ_NE,2021-01-03,NYJ,33,Brad Rogers,0,17,5
2021,Sep,2021_01_MIA_NE,2021-09-12,MIA,81,Clete Blakeman,0,1,13
2021,Sep,2021_03_NO_NE,2021-09-26,NO,73,John Hussey,0,3,13
2021,Oct,2021_04_TB_NE,2021-10-03,TB,62,Bill Vinovich,0,4,5
2021,Oct,2021_06_DAL_NE,2021-10-17,DAL,62,Brad Allen,1,6,5
2021,Oct,2021_07_NYJ_NE,2021-10-24,NYJ,52,Brad Rogers,0,7,5
2021,Nov,2021_10_CLE_NE,2021-11-14,CLE,48,John Hussey,0,10,6
2021,Nov,2021_12_TEN_NE,2021-11-28,TEN,33,Alex Kemp,0,12,6
2021,Dec,2021_16_BUF_NE,2021-12-26,BUF,38,Shawn Smith,0,16,13
2022,Jan,2021_17_JAX_NE,2022-01-02,JAX,46,Adrian Hill,0,17,4
2022,Sep,2022_03_BAL_NE,2022-09-25,BAL,NA,Bill Vinovich,0,3,NA
2022,Oct,2022_05_DET_NE,2022-10-09,DET,NA,Craig Wrolstad,0,5,NA
2022,Oct,2022_07_CHI_NE,2022-10-24,CHI,NA,Brad Allen,0,7,NA
2022,Nov,2022_09_IND_NE,2022-11-06,IND,78,Clay Martin,0,9,7.5
2022,Nov,2022_11_NYJ_NE,2022-11-20,NYJ,42,Carl Cheffers,0,11,7.5
2022,Dec,2022_13_BUF_NE,2022-12-01,BUF,35,Shawn Hochuli,0,13,2
2022,Dec,2022_16_CIN_NE,2022-12-24,CIN,21,Craig Wrolstad,0,16,2
2023,Jan,2022_17_MIA_NE,2023-01-01,MIA,53,Brad Allen,0,17,2
2023,Sep,2023_01_PHI_NE,2023-09-10,PHI,NA,Shawn Hochuli,0,1,NA
2023,Sep,2023_02_MIA_NE,2023-09-17,MIA,NA,Shawn Smith,0,2,NA
2023,Oct,2023_05_NO_NE,2023-10-08,NO,61,Alex Kemp,0,5,11.5
2023,Oct,2023_07_BUF_NE,2023-10-22,BUF,55,Clete Blakeman,0,7,11.5
2023,Nov,2023_09_WAS_NE,2023-11-05,WAS,62,Adrian Hill,0,9,NA
2023,Nov,2023_10_IND_NE,2023-11-12,IND,NA,Tra Blake,0,10,NA
2023,Dec,2023_13_LAC_NE,2023-12-03,LAC,44,Bill Vinovich,0,13,NA
2023,Dec,2023_15_KC_NE,2023-12-18,KC,NA,NA,NA,15,NA
2024,Jan,2023_18_NYJ_NE,2024-01-07,NYJ,NA,NA,NA,18,NA
